RefID,Author(s),num_setups,num_responses,num_species
DS03,Bessell-Browne et al. (2017a) ,12,3,3
SS05,Browne et al. 2014,12,4,3
SS15,Jokiel et al. 2014,20,4,2
DS10,Junjie et al. (2014),16,4,2
DS45,Rogers (1983),24,0,5
SS06,Browne et al. 2015,150,6,3
DS04,Duckworth et al. (2017),70,2,4
DS43,Peters and Pilson (1985) ,12,2,1
DS16,Philipp and Fabricius (2003),46,4,13
DS25,Shore-Maggio et al. (2018),2,1,1
DS02,Babcock and Smith (2000),16,4,1
SS04,Bessell-Browne et al. 2017,9,2,3
DS37,Fabricius et al. (2003),4,2,1
SS12,Humanes et al. 2017a,20,5,3
DS17,Piniak (2007),24,1,2
DS18,Piniak and Brown (2008),16,3,1
DS20,Riegl and Branch (1995),8,3,4
DS21,Rogers (1979) ,4,1,1
DS28,Sofonia and Anthony (2008),4,4,1
DS36,Zill et al. (2017),2,3,1
